time,temperature
1554224413,15.7
1554226217,15.7
1554228020,15.6
1554229823,15.6
1554231625,15.8
1554233429,15.8
1554235232,15.7
1554237035,15.5
1554238838,15.4
1554240642,15.2
1554242445,15.0
1554244248,15.0
1554246051,15.2
1554247854,15.2
1554249657,15.5
1554251461,15.6
1554253618,15.7
1554255420,15.9
1554257224,16.1
1554259027,16.4
1554260829,16.6
1554262633,17.1
1554264969,15.7
1554266772,15.6
1554270995,18.1
1554272798,19.1
1554274601,19.6
1554276403,19.5
1554278206,18.9
1554280009,18.5
1554281812,17.8
1554283555,17.5
1554285976,17.2
1554287779,16.8
1554289582,16.3
1554291386,16.2
1554293189,16.0
1554294992,16.0
1554296795,15.9
1554298598,15.6
1554300401,15.5
1554302204,15.2
1554304008,15.2
1554305811,15.2
1554310860,14.8
1554312663,14.9
1554314466,14.9
1554316270,14.8
1554318073,14.9
1554319876,14.9
1554321679,14.7
1554323483,14.6
1554325285,14.7
1554327089,14.6
1554328891,14.6
1554330635,14.7
1554332438,14.7
1554334241,14.8
1554335985,14.8
1554337787,14.9
1554339591,15.0
1554341394,15.3
1554343197,15.8
1554345000,16.0
1554346803,16.2
1554348606,16.3
1554350454,14.7
1554352258,14.7
1554354075,16.8
1554355878,16.9
1554357681,17.0
1554359485,17.1
1554361288,16.9
1554363091,17.4
1554364894,17.6
1554366697,17.9
1554368501,18.5
1554370304,18.8
1554372107,18.7
1554373910,18.4
1554375713,18.1
1554377516,17.1
1554379319,16.2
1554381121,16.2
1554382925,16.0
1554384728,16.1
1554386531,15.9
1554388335,15.6
1554390138,15.2
1554391941,15.2
1554393730,16.5
1554395533,16.7
1554397352,15.0
1554399154,15.0
1554400958,14.8
1554402762,14.7
1554404504,14.5
1554406308,14.7
1554408111,14.6
1554409915,14.5
1554411719,14.3
1554413522,14.2
1554415326,14.1
1554417129,13.9
1554418932,14.3
1554420676,14.5
1554422479,14.9
1554424282,15.3
1554426085,15.7
1554427889,16.4
1554429691,17.0
1554431495,18.1
1554433298,19.3
1554435100,21.0
1554436884,15.2
1554438688,15.0
1554440510,24.8
1554442312,25.5
1554444115,25.5
1554451504,25.7
1554453306,25.5
1554455109,25.9
1554456912,26.0
1554458774,25.1
1554460576,23.8
1554462379,22.6
1554464182,21.5
1554465985,20.7
1554467727,20.1
1554469530,19.6
1554471272,19.3
1554473136,19.0
1554474938,18.7
1554476741,18.5
1554478544,18.4
1554480464,22.6
1554482267,23.9
1554516643,19.9
1554518445,21.0
1554520247,21.9
1554522050,23.2
1554527457,27.0
1554529259,28.2
1554531062,28.8
1554532863,28.9
1554541872,29.3
1554543674,28.6
1554545476,27.1
1554547278,25.8
1554549079,24.6
1554550881,22.9
1554552683,22.0
1554554486,21.4
1554556348,20.7
1554558150,20.3
1554559953,20.1
1554561755,19.9
1554563558,19.6
1554565360,19.3
1554567233,24.5
1554569035,26.1
1554570827,18.5
1554572569,18.2
1554574312,18.2
1554576115,17.9
1554577918,17.8
1554579720,17.7
1554581523,17.5
1554583326,17.3
1554585189,16.8
1554586991,16.4
1554588794,16.7
1554590596,16.6
1554592399,16.4
1554594202,16.5
1554596005,17.0
1554597808,17.9
1554599670,18.9
1554601473,20.0
1554603276,21.9
1554605198,23.3
1554607309,24.8
1554609420,27.0
1554611203,18.9
1554612946,18.7
1554614688,31.1
1554616568,32.2
1554618634,32.7
1554620747,33.2
1554622623,33.5
1554624704,33.3
1554626642,33.3
1554628712,33.1
1554630787,32.3
1554632529,30.1
1554634374,28.3
1554636198,26.9
1554638417,25.7
1554640460,24.8
1554642202,24.1
1554643944,24.5
1554645944,24.3
1554647853,23.6
1554649891,23.2
1554652046,23.0
1554654411,28.4
1554656477,22.3
1554658404,21.9
1554660712,21.8
1554662867,21.1
1554664815,21.0
1554666772,20.9
1554669021,20.4
1554671347,20.5
1554673474,20.4
1554675549,20.2
1554677466,20.1
1554679662,20.3
1554681732,20.8
1554683414,21.5
1554685712,22.1
1554688281,24.0
1554690609,25.7
1554692833,27.9
1554694948,29.3
1554696978,22.9
1554698978,22.6
1554701194,32.9
1554703275,33.2
1554705339,33.0
1554707431,33.7
1554709483,34.1
1554711707,33.1
1554713694,33.1
1554715941,33.3
1554718061,32.0
1554720109,30.9
1554722219,29.5
1554724495,28.7
1554726603,27.9
1554728408,28.7
1554730270,29.3
1554732132,29.6
1554733934,29.0
1554735737,27.7
1554737539,27.1
1554739525,30.4
1554741687,
1554743427,25.3
1554745229,25.1
1554747092,24.7
1554748894,24.4
1554750697,24.4
1554752991,24.6
1554754842,23.3
1554756705,23.4
1554758520,23.5
1554760376,23.4
1554762053,22.9
1554763915,22.8
1554765717,22.7
1554767641,22.5
1554769442,22.0
1554771271,22.3
1554773048,22.8
1554774849,23.5
1554776659,24.1
1554778485,24.7
1554780137,25.9
1554782137,25.6
1554783923,26.0
1554785725,25.5
1554787663,27.9
1554789509,28.0
1554791428,28.8
1554793288,29.1
1554795156,30.1
1554796959,29.9
1554798913,30.3
1554800752,30.4
1554802666,29.9
1554804468,28.9
1554806271,28.4
1554808073,27.7
1554809935,26.9
1554811737,26.4
1554813539,25.9
1554815342,25.6
1554817145,25.4
1554818947,25.0
1554820749,24.8
1554822506,24.7
1554824354,24.3
1554826282,26.4
1554828151,26.9
1554873490,21.9
1554875363,21.6
1554877647,21.8
1554879929,21.7
1554881911,21.3
1554884013,21.3
1554885897,21.2
1554887797,21.0
1554889997,20.4
1554891896,19.9
1554893864,19.4
1554895826,19.2
1554897830,18.6
1554899992,18.9
1554902060,18.7
1554903982,17.7
1554905940,17.8
1554908163,18.0
1554910207,17.8
1554912570,22.1
1554914658,22.2
1554916607,17.9
1554918737,17.9
1554920900,17.8
1554923003,17.9
1554925090,17.4
1554927029,17.4
1554929210,17.4
1554931566,17.4
1554933818,17.2
1554936369,17.5
1554938512,17.7
1554940548,17.8
1554942830,18.0
1554945235,18.4
1554947217,19.0
1554949080,19.8
1554950882,20.5
1554952685,21.2
1554954487,21.9
1554956426,18.0
1554958632,17.9
1554960495,22.4
1554962357,23.4
1554964166,24.2
